HubID,CenterType,Latitude,Longitude,Status,HubName,hubzonename,cityname,statename,IsActive,pincode,AreaCode,country
3652,RSC,25.03319,87.59161,Approved,Borio,East,Borio,JHARKHAND,TRUE,816120,,India
3784,RSC,24.26578,88.6713,Approved,Sagarpara,East,Sagarpara,WEST BENGAL,TRUE,742306,,India
3789,RSC,21.9998,88.0021,Approved,Nandigram,East,Nandigram WB,WEST BENGAL,TRUE,721625,,India
3833,RSC,23.749493,87.02297,Approved,Domahani Bazar,East,Domahani,WEST BENGAL,TRUE,713334,,India
3978,RSC,22.3798,87.1223,Approved,Lodhasuli,East,Lodhasuli,WEST BENGAL,TRUE,721513,,India
3980,RSC,21.898252,88.1730465,Approved,Gangasagar,East,Gangasagar,WEST BENGAL,TRUE,743347,,India
4294,RSC,25.0573,88.0314,Approved,Amrity,East,Amrity,WEST BENGAL,TRUE,732208,,India
4322,RSC,23.5094,86.4794,Approved,Dubra,East,Para,WEST BENGAL,TRUE,723155,,India
4363,RSC,22.4246,87.6877,Approved,Panskura,East,Panskura,WEST BENGAL,TRUE,721139,,India
4392,RSC,22.835,88.3652,Approved,Bhadreswar,East,Bhadreswar,WEST BENGAL,TRUE,712125,,India
4535,RSC,23.9897,87.3116,Approved,Rajnagar WB,East,Rajnagar WB,BIHAR,TRUE,731130,,India
4649,RSC,22.4944,88.5759,Approved,Bhangar,East,Bhangar,WEST BENGAL,TRUE,743502,,India
4975,RSC,22.2432,88.4695,Approved,Baharu,East,JOYNAGAR,WEST BENGAL,TRUE,743372,,India
4978,RSC,23.5231,87.9041,Approved,Mangalkot,East,Mangalkot,WEST BENGAL,TRUE,968865,,India
5057,RSC,21.9998,88.0021,Approved,Mahammadpur,East,Nandigram WB,WEST BENGAL,TRUE,721631,,India
5058,RSC,26.5869,88.3531,Approved,Phansidewa,East,Fulbari Hat,WEST BENGAL,TRUE,734434,,India
5213,RSC,23.9897,87.3116,Approved,Rajnagar1 WB,East,Rajnagar WB,WEST BENGAL,TRUE,335221,,India
449,RSC,25.2372834,88.7830612,Approved,Balurghat,East,Balurghat,WEST BENGAL,TRUE,733102,RSC/Balurghat,India
2472,RSC,23.0466,87.1223,Approved,Ratanpur,East,Ratanpur,WEST BENGAL,TRUE,859148,,India
5600,RSC,25.0393,88.11951,Approved,Dobandi,East,Nimtouri,WEST BENGAL,TRUE,751982,,India
5601,RSC,22.3678924,88.2664761,Approved,Kanyanagar,East,Amtala,WEST BENGAL,TRUE,843735,,India
5760,RSC,22.008802,87.539099,Approved,Pataspur,East,EGRA,WEST BENGAL,TRUE,721439,,India
5761,RSC,27.29196,88.5903,Approved,Ranipool SK,East,GANGTOK,SIKKIM,TRUE,753461,,India
6037,RSC,22.14027,87.891939,Approved,Narghat,East,Purba Medinipur,WEST BENGAL,TRUE,721633,,India
6558,RSC,22.1939,87.4009,Approved,Narayangarh,East,Kharagpur,WEST BENGAL,TRUE,553851,,India
5185,RSC,24.1065,87.9531,Approved,Nagar.,East,Nagar,WEST BENGAL,TRUE,742159,,India
2598,RSC,22.5515,87.8206,Approved,Sonakhali,East,Sonakhali,WEST BENGAL,TRUE,721211,,India
3413,RSC,22.4223,87.5297,Approved,Debra,East,DEBRA,WEST BENGAL,TRUE,721160,,India
4418,RSC,21.7533,87.8304,Approved,Junput,East,JUNPUT,WEST BENGAL,TRUE,721450,,India
4738,RSC,23.6734,87.5989,Approved,Sriniketan,East,BOLPUR,WEST BENGAL,TRUE,731236,,India
3780,RSC,26.667196,88.413283,Approved,Fulbarihat,East,Fulbari Hat,WEST BENGAL,TRUE,462099,,India
4807,RSC,23.074,88.4477,Approved,Dumurdaha,East,Dumurdaha,WEST BENGAL,TRUE,712515,,India
2302,RSC,25.2331,87.8844,Approved,Ratua,East,Ratua,WEST BENGAL,TRUE,732205,RSC/Ratua,India
1118,RSC,25.27,71.9,Approved,Buniadpur,East,GANGARAMPUR,WEST BENGAL,TRUE,733124,RSC/Buniadpur,India
4140,RSC,23.4108326,86.1705829,Approved,Dumurdih,East,Dumurdih,WEST BENGAL,TRUE,723201,,India
4230,RSC,26.08177,88.0727,Approved,Goalpokher,East,Goalpokher,WEST BENGAL,TRUE,733210,,India
9034,SC,32.995307,75.703742,Approved,BHADERWAH,North,Bhaderwah,JAMMU AND KASHMIR,TRUE,182222,BHADERWAH,India
4613,RSC,30.70522,75.03703,Approved,Bagha Purana,North,Bagha Purana,PUNJAB,TRUE,142038,,India
2098,RSC,32.2745124,75.8675876,Approved,Jassur,North,Jassur,HIMACHAL PRADESH,TRUE,176201,RSC/Jassur,India
2654,RSC,31.61021752,75.19560257,Approved,Beas,North,BEAS,PUNJAB,TRUE,143201,,India
6570,RSC,30.3267,76.4003,Approved,Bahadurgarh PB,North,Patiala,PUNJAB,TRUE,147021,,India
818,RSC,16.367497,76.931367,Approved,Dhuri,North,Dhuri,PUNJAB,TRUE,148024,RSC/Dhuri,India
4732,RSC,30.271597,75.23732,Approved,Rampura Phul,North,Rampura Phul,PUNJAB,TRUE,151103,,India
3811,RSC,34.1016031,74.4825944,Approved,Baramulla JK,North,Baramulla,JAMMU AND KASHMIR,TRUE,193101,,India
4616,RSC,31.05833,76.28546,Approved,Balachaur,North,Balachaur,PUNJAB,TRUE,144521,Balachaur,India
3989,RSC,31.6005,74.6033,Approved,Attari,North,Attari,PUNJAB,TRUE,143107,,India
